seed,sigma_m,farm_m,pop,bands,personyears,deficit_rate_m,births,deaths_demo,mig,mig_deaths,aid_transfers,aid_kcal,repay_transfers,repay_kcal,farm_effort_m,farm_effort_used_m,farm_potential_kcal,farm_harvest_kcal,farm_uncollected_kcal,farm_harvest_py,field_built_m,field_decay_m,field_end_m,field_cells,stay_segments,stay_untruncated,stay_max_steps,stay_median_steps,bands_seen,never_moved,never_moved_pct_m,final_steps_median,final_steps_max
0,0,0,435,21,91686,8,4040,3460,226,265,98,102495045,22,25575306,0,0,0,0,0,0,0,0,0,0,247,207,153,6,21,2,95,9,300
12345,0,0,160,10,53008,11,2316,2083,186,193,60,48540702,31,31875433,0,0,0,0,0,0,0,0,0,0,196,176,78,6,10,0,0,16,86
777,0,0,419,18,69080,6,3051,2572,150,180,34,40279133,20,22705740,0,0,0,0,0,0,0,0,0,0,168,135,77,7,18,3,166,13,238
4242,0,0,351,17,73329,8,3228,2803,178,194,96,121072164,38,40763556,0,0,0,0,0,0,0,0,0,0,195,164,126,5,17,3,176,14,300
99,0,0,429,21,89721,7,3960,3461,178,190,102,136310637,37,40898500,0,0,0,0,0,0,0,0,0,0,199,159,211,5,21,2,95,11,249
31337,0,0,421,23,91018,9,4002,3479,217,222,87,94654378,39,28077654,0,0,0,0,0,0,0,0,0,0,240,199,235,6,23,5,217,8,249
2026,0,0,639,27,101951,6,4510,3786,175,205,71,79832564,24,18584570,0,0,0,0,0,0,0,0,0,0,202,152,130,6,27,4,148,12,223
0,0,250,1788,51,192817,0,8636,6884,35,84,56,153396186,4,1986225,48204250,48204250,86161454700,47283518449,38877936251,64771,992494,469070,523424,39,86,23,10,2,51,39,764,56,300
12345,0,250,1534,50,183242,1,8196,6677,62,105,103,209434479,12,1905676,45810500,45810500,81768186950,52807443129,28960743821,72338,1006014,566835,439179,36,112,46,4,2,50,34,680,38,300
777,0,250,1504,45,162862,0,7292,5842,30,66,51,139056386,4,2839321,40715500,40715500,72734353000,47639201272,25095151728,65259,861060,455920,405140,36,75,19,29,2,45,34,755,54,300
4242,0,250,1593,39,165389,0,7416,5905,10,38,23,102745294,0,0,41347250,41347250,74117588025,37951869827,36165718198,51988,734873,310930,423943,34,49,5,5,3,39,34,871,92,300
